n_jobs = 1, time is: 2.3981257589998677
n_jobs = 2, time is: 1.2198336129999916
n_jobs = 3, time is: 0.8258767530001023
n_jobs = 4, time is: 0.6303847380002026
n_jobs = 5, time is: 0.7930581900000107
n_jobs = 6, time is: 0.6974448720000055
n_jobs = 7, time is: 0.7222068969999782
n_jobs = 8, time is: 0.7091226110001116
n_jobs = 9, time is: 0.7670714640000824
n_jobs = 10, time is: 1.0002048240000931
n_jobs = 11, time is: 1.0014797129999806
n_jobs = 12, time is: 1.0906820840000364
n_jobs = 13, time is: 1.0353116789999603
n_jobs = 14, time is: 0.9832524869998451
n_jobs = 15, time is: 0.9661488659999122
n_jobs = 16, time is: 0.9875300119999793
