n_jobs = 1, time is: 2.3739528169999176
n_jobs = 2, time is: 2.35524177100001
n_jobs = 3, time is: 2.6650439990000905
n_jobs = 4, time is: 2.3833566109999538
n_jobs = 5, time is: 2.460201737000034
n_jobs = 6, time is: 2.693837272999872
n_jobs = 7, time is: 2.8688149129998237
n_jobs = 8, time is: 2.9010042830000202
n_jobs = 9, time is: 2.4636180120000972
n_jobs = 10, time is: 2.4241349320000154
n_jobs = 11, time is: 2.5366191699999945
n_jobs = 12, time is: 2.53864059600005
n_jobs = 13, time is: 2.507553465000001
n_jobs = 14, time is: 2.41195023399996
n_jobs = 15, time is: 2.420987404000016
n_jobs = 16, time is: 2.4221281420000196
n_jobs = 17, time is: 2.4616841359998034
n_jobs = 18, time is: 2.4573619729999336
n_jobs = 19, time is: 2.4317753130001165
n_jobs = 20, time is: 2.4808197960001053
n_jobs = 21, time is: 2.4959649989998525
n_jobs = 22, time is: 2.6170755709999867
n_jobs = 23, time is: 2.3941747430001215
n_jobs = 24, time is: 2.4390264529999968
n_jobs = 25, time is: 2.429265278999992
n_jobs = 26, time is: 2.4621612070000083
n_jobs = 27, time is: 2.472217983000064
n_jobs = 28, time is: 2.4230153199998767
n_jobs = 29, time is: 2.4322824569999284
n_jobs = 30, time is: 2.424040700999967
n_jobs = 31, time is: 2.4229190780001773
n_jobs = 32, time is: 2.5294099860000188
